Ted Todd A-Z Key Words,Ted Todd A-Z Key Word Descriptions
"ABSOLUTE MATT LACQUER ™ 
","A revolutionary lacquer from Ted Todd. Absolute Matt
Lacquer combines a super matt 3% sheen with high levels
of durability and stain resistance. A lacquer-based finish
with truly natural characteristics."
"ACCLIMATISATION
","The procedure of placing wood flooring in the area where it is to be installed to enable it to ‘acclimatise’ or adjust its moisture content to correspond with that of its surroundings.
Ted Todd recommends that all floors are acclimatised within their packs for 2 to 3 days in the room to be installed to allow the temperature of the floor to equalize with its environment ensuring job site conditions are met.
Ensure that the building is enclosed.
Verify that the building is maintained at normal living conditions for temperature and humidity.
Where building codes allow, permanent heating and/or air-conditioning systems should be operating at least five days preceding installation to promote proper acclimatisation.
If it is not possible for the permanent heating and/or air-conditioning system to be operating before, during and after installation, a temporary heating and/or dehumidification system that will mimic normal temperature and humidity conditions can enable the installation to proceed until the permanent heating and/or air-conditioning system is operating.
Packs should be stacked flat on the floor or on battens (not upright) allowing for airflow around the stacks.
If the delivery is for more than one room the order should be broken down into the individual room quantities and stored in the respective rooms."
"ADHESIVE
","Paste used for fixing flooring to its subfloor. Usually spread with a notched trowel – it is important to use a trowel with the correct sized notches so as to apply the correct quantity of adhesive. The best adhesives will be flexible allowing the wood floor to move with the natural variations in humidity. Ted Todd MS Flex is the best adhesive for this purpose.
Adhesives, usually of the PVA type, are also used for gluing together the T&G of the floorboards in a floating installation.
"
"AIR DRY
","A method of drying timber by atmospheric conditions between its natural state as a tree and its use in building. Air-dried timber is not usually sufficiently dry for hardwood flooring and kiln drying is required to achieve a moisture content of 8 to 10%, which conforms to BS8201."
"APPLICATOR
","An implement for applying adhesive, oil, seal or other dressing.
"
"ARCHITECTURAL ELEMENTS
","A term used to describe specially designed, functional structural and decorative profiles such as skirtings and architraves.
"
"ARCHITRAVE
","A wooden frame for doorways. Usually requires undercutting to permit wood flooring to fit under it.
"
"BATTEN
","A piece (usually) of softwood which supports the hardwood flooring and to which it is often fixed by nailing.
"
"BEECH
","(Fagus Sylvatica) A very hard and straight-grained wood which is used for everything from flooring to building construction.
Native to Europe, Asia and North America.
Not recommended for use over underfloor heating. This is because of the low stability of the wood and its tendency to split and crack with rapid changes in moisture or humidity.
"
"BEVEL
","A decorative feature whereby the sharp edge of the board is planed off. The bevel more clearly defines the board’s edge and this can add to the beauty of the floor. Sometimes also called an ‘eased’ edge. There is no industry standard for bevel size, so it varies from producer to producer – however, it is usually angled at 45 degrees and between 0.5mm and 2mm deep. See also Hand-Rolled Edges and Broken Edge."
