Collection,Code,ProductVariation,ProductGroup,DesignVariation,Grade,Construction,Textures,Finishes,EdgeDetail,Species,Certification
WAREHOUSE,WARE20/006,Flax Extra Wide Plank,Flax,Extra Wide Plank ,Nature  ,2Ply Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
WAREHOUSE,WARE010,Fleece Wide Plank,Fleece,Wide Plank  ,Nature  ,3Layer Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
WAREHOUSE,WARE20/010,Fleece Extra Wide Plank,Fleece,Extra Wide Plank ,Nature  ,2Ply Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
WAREHOUSE,WARECH10,Fleece Chevron,Fleece,Chevron   ,Nature  ,2Ply Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
WAREHOUSE,WAREBL10,Fleece Narrow Herringbone,Fleece,Narrow Herringbone  ,Nature  ,2Ply Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
WAREHOUSE,WARE011,Furrow Wide Plank,Furrow,Wide Plank  ,Nature  ,3Layer Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
WAREHOUSE,WARE20/011,Furrow Extra Wide Plank,Furrow,Extra Wide Plank ,Nature  ,2Ply Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
WAREHOUSE,WAREBL11,Furrow Narrow Herringbone,Furrow,Narrow Herringbone  ,Nature  ,2Ply Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
WAREHOUSE,WARECH11,Furrow Chevron,Furrow,Chevron   ,Nature  ,2Ply Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
WAREHOUSE,WARE009,Husk Wide Plank,Husk,Wide Plank  ,Nature  ,3Layer Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
WAREHOUSE,WARE20/009,Husk Extra Wide Plank,Husk,Extra Wide Plank ,Nature  ,2Ply Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
WAREHOUSE,WAREBL09,Husk Narrow Herringbone,Husk,Narrow Herringbone  ,Nature  ,2Ply Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
WAREHOUSE,WARECH09,Husk Chevron,Husk,Chevron   ,Nature  ,2Ply Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
WAREHOUSE,WARE008,Raw Cotton Wide Plank,Raw Cotton,Wide Plank  ,Nature  ,3Layer Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
WAREHOUSE,WARE20/008,Raw Cotton Extra Wide Plank,Raw Cotton,Extra Wide Plank ,Nature  ,2Ply Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
WAREHOUSE,WAREBL08,Raw Cotton Narrow Herringbone,Raw Cotton,Narrow Herringbone  ,Nature  ,2Ply Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
WAREHOUSE,WARECH08,Raw Cotton Chevron,Raw Cotton,Chevron   ,Nature  ,2Ply Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
WAREHOUSE,WARE012,Strand Wide Plank,Strand,Wide Plank  ,Nature  ,3Layer Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
WAREHOUSE,WARE007,Sugar Cane Wide Plank,Sugar Cane,Wide Plank  ,Nature  ,3Layer Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
WAREHOUSE,WARE20/007,Sugar Cane Extra Wide Plank,Sugar Cane,Extra Wide Plank ,Nature  ,2Ply Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
WAREHOUSE,WAREBL07,Sugar Cane Narrow Herringbone,Sugar Cane,Narrow Herringbone  ,Nature  ,2Ply Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
WAREHOUSE,WARECH07,Sugar Cane Chevron,Sugar Cane,Chevron   ,Nature  ,2Ply Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
WAREHOUSE,WARE015,Winnow Wide Plank,Winnow,Wide Plank  ,Nature  ,3Layer Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
WAREHOUSE,WAREBL15,Winnow Narrow Herringbone,Winnow,Narrow Herringbone  ,Nature  ,2Ply Engineered,Undulating,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
